User_ID,kmeans_cluster,phenotype_kmeans
179,4,Envious
180,1,Pessimist
181,4,Envious
186,3,Trustful
187,4,Envious
188,3,Trustful
190,4,Envious
191,1,Pessimist
193,3,Trustful
195,2,Optimist
196,3,Trustful
197,2,Optimist
198,1,Pessimist
199,3,Trustful
200,3,Trustful
201,2,Optimist
202,4,Envious
203,1,Pessimist
204,1,Pessimist
205,1,Pessimist
207,2,Optimist
208,3,Trustful
209,1,Pessimist
210,4,Envious
211,2,Optimist
212,3,Trustful
213,3,Trustful
214,1,Pessimist
215,4,Envious
216,3,Trustful
217,1,Pessimist
218,0,Undefined
220,2,Optimist
221,1,Pessimist
222,4,Envious
223,0,Undefined
224,4,Envious
225,4,Envious
226,1,Pessimist
227,0,Undefined
228,2,Optimist
229,4,Envious
230,4,Envious
232,0,Undefined
235,0,Undefined
237,4,Envious
238,1,Pessimist
240,4,Envious
241,2,Optimist
242,4,Envious
246,4,Envious
247,4,Envious
250,1,Pessimist
251,0,Undefined
253,4,Envious
254,1,Pessimist
255,1,Pessimist
256,4,Envious
258,1,Pessimist
259,4,Envious
261,3,Trustful
266,4,Envious
270,1,Pessimist
272,3,Trustful
275,4,Envious
276,4,Envious
277,3,Trustful
278,4,Envious
279,4,Envious
280,3,Trustful
281,4,Envious
282,4,Envious
284,1,Pessimist
285,3,Trustful
286,2,Optimist
287,1,Pessimist
288,0,Undefined
289,4,Envious
291,4,Envious
292,1,Pessimist
293,4,Envious
297,3,Trustful
298,2,Optimist
299,3,Trustful
300,4,Envious
302,1,Pessimist
304,4,Envious
305,1,Pessimist
306,1,Pessimist
308,4,Envious
310,4,Envious
311,1,Pessimist
312,2,Optimist
313,4,Envious
314,2,Optimist
315,1,Pessimist
316,4,Envious
317,1,Pessimist
318,3,Trustful
320,3,Trustful
321,2,Optimist
322,2,Optimist
323,2,Optimist
324,2,Optimist
325,1,Pessimist
326,1,Pessimist
328,4,Envious
329,2,Optimist
330,4,Envious
331,4,Envious
332,2,Optimist
333,1,Pessimist
334,1,Pessimist
335,0,Undefined
336,4,Envious
337,0,Undefined
338,0,Undefined
339,2,Optimist
340,1,Pessimist
341,0,Undefined
342,1,Pessimist
343,4,Envious
344,0,Undefined
345,1,Pessimist
346,4,Envious
347,4,Envious
348,1,Pessimist
349,2,Optimist
350,4,Envious
351,1,Pessimist
352,2,Optimist
353,1,Pessimist
354,3,Trustful
355,2,Optimist
356,1,Pessimist
358,1,Pessimist
359,1,Pessimist
360,0,Undefined
362,4,Envious
363,0,Undefined
365,4,Envious
366,0,Undefined
367,4,Envious
368,4,Envious
369,2,Optimist
370,3,Trustful
372,4,Envious
373,4,Envious
374,2,Optimist
375,4,Envious
376,4,Envious
377,4,Envious
378,4,Envious
379,1,Pessimist
380,2,Optimist
381,0,Undefined
382,4,Envious
383,1,Pessimist
384,3,Trustful
385,1,Pessimist
388,3,Trustful
389,2,Optimist
390,4,Envious
391,1,Pessimist
392,2,Optimist
393,4,Envious
394,2,Optimist
395,2,Optimist
396,4,Envious
397,1,Pessimist
398,1,Pessimist
400,4,Envious
401,2,Optimist
402,2,Optimist
403,0,Undefined
404,3,Trustful
405,4,Envious
406,4,Envious
407,4,Envious
409,2,Optimist
411,4,Envious
412,4,Envious
413,0,Undefined
414,4,Envious
415,1,Pessimist
416,0,Undefined
417,1,Pessimist
418,2,Optimist
420,0,Undefined
421,4,Envious
423,4,Envious
424,2,Optimist
425,4,Envious
426,0,Undefined
427,1,Pessimist
428,3,Trustful
429,2,Optimist
431,1,Pessimist
432,3,Trustful
434,1,Pessimist
436,3,Trustful
437,2,Optimist
439,3,Trustful
440,3,Trustful
441,0,Undefined
442,4,Envious
443,4,Envious
444,3,Trustful
445,2,Optimist
446,0,Undefined
447,3,Trustful
448,2,Optimist
449,4,Envious
450,4,Envious
452,1,Pessimist
454,0,Undefined
455,1,Pessimist
456,3,Trustful
457,2,Optimist
458,0,Undefined
460,3,Trustful
461,4,Envious
462,0,Undefined
463,2,Optimist
464,1,Pessimist
465,0,Undefined
466,0,Undefined
467,2,Optimist
469,3,Trustful
470,0,Undefined
471,1,Pessimist
472,1,Pessimist
474,4,Envious
475,4,Envious
476,4,Envious
477,1,Pessimist
478,4,Envious
479,0,Undefined
480,1,Pessimist
482,0,Undefined
485,4,Envious
486,2,Optimist
487,1,Pessimist
488,4,Envious
489,2,Optimist
490,3,Trustful
491,4,Envious
492,3,Trustful
493,2,Optimist
494,3,Trustful
495,0,Undefined
496,3,Trustful
497,1,Pessimist
498,2,Optimist
499,4,Envious
501,3,Trustful
502,2,Optimist
503,1,Pessimist
504,3,Trustful
505,0,Undefined
506,0,Undefined
507,3,Trustful
508,2,Optimist
509,1,Pessimist
510,2,Optimist
511,1,Pessimist
514,4,Envious
515,4,Envious
516,2,Optimist
517,2,Optimist
518,1,Pessimist
519,1,Pessimist
520,0,Undefined
521,2,Optimist
522,4,Envious
523,2,Optimist
524,1,Pessimist
525,1,Pessimist
526,1,Pessimist
527,2,Optimist
528,2,Optimist
529,1,Pessimist
530,0,Undefined
531,0,Undefined
533,0,Undefined
534,2,Optimist
536,0,Undefined
537,1,Pessimist
538,1,Pessimist
540,3,Trustful
541,1,Pessimist
543,3,Trustful
544,1,Pessimist
545,0,Undefined
546,3,Trustful
547,2,Optimist
548,3,Trustful
549,4,Envious
552,2,Optimist
553,4,Envious
554,3,Trustful
555,0,Undefined
556,3,Trustful
557,4,Envious
558,1,Pessimist
559,4,Envious
560,1,Pessimist
561,1,Pessimist
562,3,Trustful
563,4,Envious
565,4,Envious
566,4,Envious
568,4,Envious
569,3,Trustful
570,2,Optimist
572,3,Trustful
574,4,Envious
575,0,Undefined
576,3,Trustful
577,2,Optimist
578,3,Trustful
579,3,Trustful
580,4,Envious
